ID,Original,Firma,Zusatz,Straße,PLZ,Stadt,Land
18251,"WEG 110 Mönchstr. 11+15
70191 Stuttgart
AZ: 110 - 14634
c/o Eduard Oberfrank Unternehmens- und
Liegenschaftsberatung GmbH
Affinger Str. 1
86167 Augsburg",WEG 110 Mönchstr. 11+15,"70191 Stuttgart
AZ: 110 - 14634
c/o Eduard Oberfrank Unternehmens- und
Liegenschaftsberatung GmbH",Affinger Str. 1,86167,Augsburg,DE
18046,"Gutermann Technology GmbH
Gottlieb Daimler Strasse 10
D-88214 Ravensburg
",Gutermann Technology GmbH,,Gottlieb Daimler Strasse 10,88214,Ravensburg,DE
17259,"CHG-MERIDIAN AG
Franz-Beer-Straße 111
88250 Weingarten",CHG-MERIDIAN AG,,Franz-Beer-Straße 111,88250,Weingarten,DE
17322,"TESTFIRMÄ
Hanse liese Müller str. 17
88255 Baienfurt",TESTFIRMÄ,,Hanse liese Müller str. 17,88255,Baienfurt,DE
17170,"Daimler TSS GmbH
Wilhelm-Runge-Straße 11
89081 Ulm",Daimler TSS GmbH,,Wilhelm-Runge-Straße 11,89081,Ulm,DE
18468,"evia consulting GmbH
Ingeborg-Bachmann-Straße 73
89134 Blaustein",evia consulting GmbH,,Ingeborg-Bachmann-Straße 73,89134,Blaustein,DE
18385,"Ingeus GmbH
Bahnhofstraße 11 b
90402 Nürnberg",Ingeus GmbH,,Bahnhofstraße 11 b,90402,Nürnberg,DE
16285,"Habicht + Sporer GmbH
Laufamholzstr. 116
90482 Nürnberg",Habicht + Sporer GmbH,,Laufamholzstr. 116,90482,Nürnberg,DE
18356,"OAC Analytics GmbH
Georg-Mayer-Straße 7
91154 Roth",OAC Analytics GmbH,,Georg-Mayer-Straße 7,91154,Roth,DE
16788,"Küchenvertrieb Scharf GmbH
Lange Mähder 2
91589 Aurach",Küchenvertrieb Scharf GmbH,,Lange Mähder 2,91589,Aurach,DE
16953,"J.B. Lell GmbH & Co.KG
Vilstalstrasse 27+29
92245 Kümmersbruck",J.B. Lell GmbH & Co.KG,,Vilstalstrasse 27+29,92245,Kümmersbruck,DE
17988,"Autohaus J. B. Lell
Industriestr. 20
92421 Schwandorf",Autohaus J. B. Lell,,Industriestr. 20,92421,Schwandorf,DE
17987,"BMW Autohaus J.B. LELL GmbH & Co. KG Weiden
Zur Centralwerkstätte 5
92637 Weiden in der Oberpfalz",BMW Autohaus J.B. LELL GmbH & Co. KG Weiden,,Zur Centralwerkstätte 5,92637,Weiden in der Oberpfalz,DE
16609,"Autohaus Lell GmbH 
Regensburger Str. 56
93133 Burglengenfeld",Autohaus Lell GmbH ,,Regensburger Str. 56,93133,Burglengenfeld,DE
16902,"Lackier- und Karosseriecenter Maxhütte GmbH
Gruber-Sperl-Straße 3
93142 Maxhütte-Haidhof",Lackier- und Karosseriecenter Maxhütte GmbH,,Gruber-Sperl-Straße 3,93142,Maxhütte-Haidhof,DE
16590,"Rhein Hochfranken
Niederlassung der Autohaus Heermann und Rhein GmbH
Schneebergstr. 5
95032 Hof",Rhein Hochfranken Niederlassung der Autohaus Heermann und Rhein GmbH,,Schneebergstr. 5,95032,Hof,DE
17017,"Autohaus J.B. Lell GmbH
Luisenburgstraße 45
95632 Wunsiedel",Autohaus J.B. Lell GmbH,,Luisenburgstraße 45,95632,Wunsiedel,DE
18710,"Autohaus J.B. LELL GmbH 
Luisenburgstraße 45
95632 Wunsiedel",Autohaus J.B. LELL GmbH ,,Luisenburgstraße 45,95632,Wunsiedel,DE
17441,"Dr. Scheider Kunststoffwerke GmbH 
Lindenstraße 10-12
96317 Kronach-Neuses",Dr. Scheider Kunststoffwerke GmbH ,,Lindenstraße 10-12,96317,Kronach-Neuses,DE
17102,"ALTEN GmbH
Rosenauer Straße 27
96450 Coburg",ALTEN GmbH,,Rosenauer Straße 27,96450,Coburg,DE
16903,"Bavarian Motor Cars GmbH
Louis-Pasteur-Straße 14
97076 Würzburg",Bavarian Motor Cars GmbH,,Louis-Pasteur-Straße 14,97076,Würzburg,DE
17354,"FIS Informationssysteme und Consulting GmbH 
Röthleiner Weg 1 
97506 Grafenrheinfeld 
",FIS Informationssysteme und Consulting GmbH ,,Röthleiner Weg 1 ,97506,Grafenrheinfeld ,DE
17060,"Seifert Automobile GmbH
Industriestraße 10
97616 Bad Neustadt a.d.Saale",Seifert Automobile GmbH,,Industriestraße 10,97616,Bad Neustadt a.d.Saale,DE
